location,scanned,max_delivered,distinct_job_imb_count,client_company,mailing_name,mailing_status,mailing_date,startTheClockDate,scanFacilityName,JobID,delivery_date,pieceId,latitude,longitude
"93033,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[e3d46a61-7f43-11ef-af99-8161448af1cb],34.1685,-119.1717
"93422,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2025-10-02],[7f5148d1-7f41-11ef-acdf-d3aeaedc4ff2],35.4754,-120.6638
"90031,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[9f66f028-7f41-11ef-943f-a138f23b0ade],34.0783,-118.2113
"93612,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[0f645f23-7f42-11ef-af2b-f933d7326eef],36.8149,-119.7106
"95799,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,SACRAMENTO,[ASKJH5L],[2024-10-03],[4ffc47b1-7f41-11ef-821f-e5b1b5bfd9fd],38.5713,-121.5715
"93449,United States",2,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[21636aa4-7f41-11ef-96d3-75dc75d9396c],35.1578,-120.6522
"93286,United States",3,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[479eb580-7f41-11ef-af37-81d70d62bd0f],36.4313,-119.0918
"93726,United States",3,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[bb821140-7f41-11ef-af2b-f933d7326eef],36.7949,-119.7604
"93199,United States",3,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,SANTA BARBARA,[ASKJH5L],[2024-10-02],[3ce99ec1-7f41-11ef-ad74-f3791c8928d3],34.2628,-119.8486
"93291,United States",3,1,3,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-05],[93f08539-7f41-11ef-96d3-75dc75d9396c],36.3551,-119.301
"94615,United States",2,0,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,OAKLAND,[ASKJH5L],[2024-12-22],[c77fd4a3-7f41-11ef-979e-d32af668a8c0],37.8067,-122.3004
"93454,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[dd64b061-7f41-11ef-af2b-f933d7326eef],34.9545,-120.4325
"93710,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1b565826-7f41-11ef-aa14-a55cbad5c330],36.8236,-119.7621
"93001,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1c4c9f0b-7f41-11ef-8658-2517b1dfe223],34.3308,-119.3584
"93036,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[48e677c0-7f41-11ef-9ff2-1b4e638188fc],34.2351,-119.182
"90802,United States",1,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-05],[334052b4-7f41-11ef-9ff2-1b4e638188fc],33.7706,-118.182
"93003,United States",1,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[5dc7c632-7f41-11ef-93de-47e410ff622b],34.2846,-119.2222
"93657,United States",1,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[90167f51-7f41-11ef-86d9-75b45af40979],36.7243,-119.5478
"92705,United States",1,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-01],[55cd1f12-7f42-11ef-829d-0fbc7428522d],33.754,-117.7919
"90715,United States",1,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[8702e391-7f41-11ef-b4be-99d606b3eb65],33.8405,-118.0767
"93221,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[bda93701-7f41-11ef-80d2-1789a4a4cc59],36.3041,-119.1293
"92405,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1a0c4bf3-7f41-11ef-9a45-4176d24235ba],34.1446,-117.3013
"93706,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,FRESNO,[ASKJH5L],[2024-10-02],[5d8fc641-7f41-11ef-84a8-2b75b4a9ee13],36.6486,-119.9987
"93723,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[85f51d13-7f41-11ef-b036-3fa07e6738d5],36.7863,-119.9532
"93455,United States",2,1,2,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[29981811-7f41-11ef-b036-3fa07e6738d5],34.8286,-120.4268
"92126,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[0ee0621a-7f42-11ef-af2b-f933d7326eef],32.9161,-117.1402
